number,author,participant,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by
752,ixti,glebm,1,452506d6be0827ca1451e3732ce6eec9f87ce547,edd7e38f8d7ac4f7590571878a5c309651585429,edd7e38f8d7ac4f7590571878a5c309651585429,2014-10-25 23:37:26,2014-10-28 04:10:04,glebm
781,kevva,arthurvr,1,faac9f3c4d5f264643b510f7904d9e3ee50f01a9,69fbd8005ba07d4ffba949e9af6cfff05e679551,69fbd8005ba07d4ffba949e9af6cfff05e679551,2014-11-19 17:22:17,2014-11-20 12:26:32,glebm
801,aderyabin,glebm,1,d3531a6fded02ba8ecd3e2d1f987927bd414883b,e4fe66b8d93313f23a50f6adf4bd37ffb19d5372,e4fe66b8d93313f23a50f6adf4bd37ffb19d5372,2014-12-17 00:15:56,2014-12-17 14:33:44,glebm
818,cvrebert,glebm,1,f3b99eda0005cd62a8ab0b1f5df8a04ec9a7bb8d,317790bfbe0aaabcad482e38f274ffe029ca2667,317790bfbe0aaabcad482e38f274ffe029ca2667,2015-01-13 23:35:17,2015-01-14 22:11:23,glebm
826,thomas-mcdonald,glebm,18,847887b0ac523221b80cb986e5e42241bab0158a,386bf387ccabd3aec63745ec58fb828c5cd28f80,aa4484541ca6d8b83c357b4eefd236e4f0bf1b8d,2015-01-19 17:12:20,2015-01-19 17:26:27,thomas-mcdonald
835,mohnish,cvrebert,1,21098b331e67a223349d271e646ebec775ffa4d3,a0410b1968f5e088db74dee9a5c8344f7f37cdda,a0410b1968f5e088db74dee9a5c8344f7f37cdda,2015-01-26 03:10:07,2015-02-02 18:00:11,cvrebert
854,shawnacscott,glebm,1,1d355261013ad2537790af4b09a96fddbfca8545,c2a4ebb98b988b2771012e4af4096b478cefe11a,c2a4ebb98b988b2771012e4af4096b478cefe11a,2015-02-20 00:10:16,2015-02-20 00:36:22,glebm
858,cvrebert,Pheonixashed,1,d35d4bd58708c3db82aaac7b50295ff37a2d1c83,c30c8459a9b921c1181df5cfbd4940d3aaba25fd,c30c8459a9b921c1181df5cfbd4940d3aaba25fd,2015-02-27 10:30:56,2015-03-07 15:22:51,glebm
868,cvrebert,glebm,1,12584a3a0bb7b90f0c7feb988fb24ab94f75df87,812f9a471e7764224f3b7b8e911b689d877655cd,812f9a471e7764224f3b7b8e911b689d877655cd,2015-03-15 11:42:55,2015-03-15 18:08:05,glebm
915,boxofrox,glebm,1,1f269b15ff91ebe35fc04959a6e38caecb19dc4f,c7d05c1e11570e68141ec21c9db40fdbd8c4e006,c7d05c1e11570e68141ec21c9db40fdbd8c4e006,2015-06-10 16:42:08,2015-06-10 19:51:46,glebm
922,fofr,glebm,1,d64d48fd23c9624cc5c996e6516b7dc33fde5919,bf9b497538b8c74e9cb29ba8a754184ebee499dd,bf9b497538b8c74e9cb29ba8a754184ebee499dd,2015-06-18 10:27:00,2015-06-23 15:06:40,glebm
947,BobRazoswki,ptolemybarnes,1,8cd2bf8e01913aa63a3aab6107faf6462818608a,bb9d03d75085ac375d332e6b5074eb2cfd9e9686,bb9d03d75085ac375d332e6b5074eb2cfd9e9686,2015-07-27 16:47:28,2015-09-02 21:30:45,glebm
965,lucasmazza,glebm,1,f1d9a2411839cfadeb2717b578734bbab8fb458b,3e0fafa09a362e601372d078926398c59ba91d67,3e0fafa09a362e601372d078926398c59ba91d67,2015-09-11 19:47:45,2015-09-27 12:18:39,glebm
969,taki,glebm,1,f1d9a2411839cfadeb2717b578734bbab8fb458b,f6ce89fffd8dfb9b4ab5341ea12c369135a9027e,f6ce89fffd8dfb9b4ab5341ea12c369135a9027e,2015-09-27 12:10:09,2015-09-27 12:17:43,glebm
982,Nerian,glebm,1,ab4d5855e2539ff2febeafc3bfa2463485d57ca0,187814b2b27a760bfb29d9717cc9bee508f59cb9,187814b2b27a760bfb29d9717cc9bee508f59cb9,2015-11-10 16:09:25,2015-11-19 23:51:40,glebm
984,ReadmeCritic,cvrebert,1,e15eef6a47ab94b15f80d44507859e4bc08ae965,ce44bb4317a650f457faf55421ac7f1ffbd5489e,ce44bb4317a650f457faf55421ac7f1ffbd5489e,2015-11-15 03:54:00,2015-11-17 01:32:30,cvrebert
987,cvrebert,glebm,2,ab4d5855e2539ff2febeafc3bfa2463485d57ca0,7cdba1657999b625a1e7e31bb6c360d8b0f65e5c,10ee03ce84759f136ca16d1348867d1b09336c7c,2015-11-18 04:01:03,2015-11-23 08:37:42,cvrebert
993,cvrebert,glebm,1,a73cc0f0e5c794206e9a70bc0b67e67cf37c1bca,c586f8e52be5024c4441a6a33874bcadea066810,c586f8e52be5024c4441a6a33874bcadea066810,2015-12-09 07:23:13,2015-12-10 17:15:49,glebm
994,cvrebert,thomas-mcdonald,1,70f6d4de61771e65be8ff1ec23c50d33c447ce01,362dc3a081cc63a85f7fdb8939e43a2c8b803b60,362dc3a081cc63a85f7fdb8939e43a2c8b803b60,2015-12-09 07:32:56,2015-12-16 07:59:47,cvrebert
995,cvrebert,glebm,1,6add79b3e89a5c6a6c4671e58871fbe2a12768cf,cf3d10fdfb4a014a9cb16f3e01437f1f1d02f10c,cf3d10fdfb4a014a9cb16f3e01437f1f1d02f10c,2015-12-09 07:49:13,2015-12-10 17:13:57,glebm
1002,Atul9,cvrebert,1,d07b75677e830090e11a0039613e9bdc5ba65df1,422aa5cae22d58a3053228cdc16d5a4d4dc294c9,422aa5cae22d58a3053228cdc16d5a4d4dc294c9,2016-01-03 13:10:25,2016-01-18 04:34:33,cvrebert
1007,iammikecohen,cvrebert,3,31acbea483821acb726f1b4880d1452aee90367e,3d75bc2e123cf50f097ac8f7737e90d04dd7bb80,a8f7d79c704fb238ea5efe6089d8d1b17d507575,2016-01-22 16:28:14,2016-02-19 16:20:56,glebm
