number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
271,1,a4b7bb9a5dd2c021edcd3d68d326255c734d0ef0,361aa1596d651c19560d496428aa724eaa6b8323,361aa1596d651c19560d496428aa724eaa6b8323,2016-07-15 21:17:04,2016-08-29 19:24:27,martinwicke,https://github.com/tensorflow/models/compare/361aa1596d651c19560d496428aa724eaa6b8323...361aa1596d651c19560d496428aa724eaa6b8323.diff
273,1,a4b7bb9a5dd2c021edcd3d68d326255c734d0ef0,6cc28d20a498198bb8d91b95f14e273d314a928d,6cc28d20a498198bb8d91b95f14e273d314a928d,2016-07-18 23:37:21,2016-08-02 00:05:56,martinwicke,https://github.com/tensorflow/models/compare/6cc28d20a498198bb8d91b95f14e273d314a928d...6cc28d20a498198bb8d91b95f14e273d314a928d.diff
275,1,a4b7bb9a5dd2c021edcd3d68d326255c734d0ef0,81f12def859ba15782720391b7adebee40390678,81f12def859ba15782720391b7adebee40390678,2016-07-20 16:23:00,2016-07-20 23:57:51,sguada,https://github.com/tensorflow/models/compare/81f12def859ba15782720391b7adebee40390678...81f12def859ba15782720391b7adebee40390678.diff
278,1,a4b7bb9a5dd2c021edcd3d68d326255c734d0ef0,6887fd8836fd7f38c3511e7cd0df19d2d90865a1,6887fd8836fd7f38c3511e7cd0df19d2d90865a1,2016-07-20 19:27:27,2016-07-20 19:27:52,calberti,https://github.com/tensorflow/models/compare/6887fd8836fd7f38c3511e7cd0df19d2d90865a1...6887fd8836fd7f38c3511e7cd0df19d2d90865a1.diff
279,1,0a40f8d56c0a67296b33de44363c812fb06bca1f,6d0722dc021f38a6d680a9259972aeb02fd83848,6d0722dc021f38a6d680a9259972aeb02fd83848,2016-07-21 04:19:58,2016-10-19 18:02:51,drpngx,https://github.com/tensorflow/models/compare/6d0722dc021f38a6d680a9259972aeb02fd83848...6d0722dc021f38a6d680a9259972aeb02fd83848.diff
281,2,0a40f8d56c0a67296b33de44363c812fb06bca1f,6887fd8836fd7f38c3511e7cd0df19d2d90865a1,10bbcb27b2f96d61befc4ec4e4c6a000b418e2de,2016-07-21 17:20:13,2016-07-21 17:20:38,calberti,https://github.com/tensorflow/models/compare/6887fd8836fd7f38c3511e7cd0df19d2d90865a1...10bbcb27b2f96d61befc4ec4e4c6a000b418e2de.diff
286,1,be7a899945ab8a1912de297918dff468fc2a3903,642caf5ca0ffafdb6357d6998f905a54cd89a544,642caf5ca0ffafdb6357d6998f905a54cd89a544,2016-07-23 23:39:03,2016-09-13 20:20:35,sguada,https://github.com/tensorflow/models/compare/642caf5ca0ffafdb6357d6998f905a54cd89a544...642caf5ca0ffafdb6357d6998f905a54cd89a544.diff
292,1,be7a899945ab8a1912de297918dff468fc2a3903,36c9589b5079ab68d819ac9c0b3458172d8b1d73,36c9589b5079ab68d819ac9c0b3458172d8b1d73,2016-07-28 11:56:25,2016-08-25 20:51:34,calberti,https://github.com/tensorflow/models/compare/36c9589b5079ab68d819ac9c0b3458172d8b1d73...36c9589b5079ab68d819ac9c0b3458172d8b1d73.diff
300,1,a591478c764952f158375c1ff2e8bfc9f2725b52,56a05f688e7052b0d631b23614a36846b8c89e75,56a05f688e7052b0d631b23614a36846b8c89e75,2016-08-04 16:57:02,2016-08-24 04:18:17,lukaszkaiser,https://github.com/tensorflow/models/compare/56a05f688e7052b0d631b23614a36846b8c89e75...56a05f688e7052b0d631b23614a36846b8c89e75.diff
301,3,a591478c764952f158375c1ff2e8bfc9f2725b52,c7c88eb57da6e6cb50469213c7ad6de44602c71c,2c7433e78c586ef3b19dba0ddf8525a96cb85940,2016-08-04 19:17:14,2016-08-04 19:18:20,calberti,https://github.com/tensorflow/models/compare/c7c88eb57da6e6cb50469213c7ad6de44602c71c...2c7433e78c586ef3b19dba0ddf8525a96cb85940.diff
